Altium Designer Pick and Place Locations
E:\pcbs\AMFv3\A1_PROCESSOR_v4\Project Outputs for A1_v40\Pick Place for A1_v40.csv

========================================================================================================================
File Design Information:

Date:       06-06-18
Time:       10:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FD3","Fiducial - Round","TopLayer","FIDUCIAL_2mm","6.000","6.000","180","Fiducial - Round 1.5mm Top-Bottom"
"FD2","Fiducial - Round","TopLayer","FIDUCIAL_2mm","6.000","74.000","180","Fiducial - Round 1.5mm Top-Bottom"
"FD1","Fiducial - Round","TopLayer","FIDUCIAL_2mm","94.000","74.000","180","Fiducial - Round 1.5mm Top-Bottom"
"R25","100K 1206","TopLayer","R1206","65.913","11.100","180","Resistor"
"U2","HCF4051BEY","TopLayer","DIP16","55.067","49.098","180","Analog Multiplexer/Demultiplexer"
"U1","HCF4051BEY","TopLayer","DIP16","55.067","64.465","180","Analog Multiplexer/Demultiplexer"
"U9","DS1307","TopLayer","DIP-8","57.074","14.554","270","64 X 8 Serial Real-Time Clock"
"C22",".1uF 1206","TopLayer","C1206","34.969","61.438","360","Capacitor"
"C21",".1uF 1206","TopLayer","C1206","19.475","47.955","0","Capacitor"
"C19",".1uF 1206","TopLayer","C1206","19.475","61.438","0","Capacitor"
"C18",".1uF 1206","TopLayer","C1206","34.969","54.813","0","Capacitor"
"C17",".1uF 1206","TopLayer","C1206","34.969","68.113","0","Capacitor"
"C16",".1uF 1206","TopLayer","C1206","19.475","68.113","0","Capacitor"
"C1",".1uF 1206","TopLayer","C1206","19.475","54.940","0","Capacitor"
"U3","LM324D","TopLayer","SOIC14_M","35.916","35.687","0","Quadruple Operational Amplifier"
"Y2","XTAL 32.768KHz 6pF","TopLayer","XTALWATCH","60.681","21.285","360","Crystal Oscillator"
"R122","2.2K 1206","TopLayer","R1206","28.365","71.450","180","Semiconductor Resistor"
"R121","2.2K 1206","TopLayer","R1206","12.871","71.450","180","Semiconductor Resistor"
"R120","2.2K 1206","TopLayer","R1206","12.871","51.130","180","Semiconductor Resistor"
"R119","220K 1206","TopLayer","R1206","52.095","32.715","360","Semiconductor Resistor"
"R118","100K 1206","TopLayer","R1206","26.543","25.019","180","Semiconductor Resistor"
"R108","47K 1206","TopLayer","R1206","12.871","32.766","360","Resistor"
"R107","220K 1206","TopLayer","R1206","52.045","38.964","180","Resistor"
"R76","100K 1206","TopLayer","R1206","85.293","67.767","360","Resistor"
"R64","1M 1206","TopLayer","R1206","26.568","32.766","360","Resistor"
"R62","1M 1206","TopLayer","R1206","19.500","32.766","360","Resistor"
"R53","220K 1206","TopLayer","R1206","26.543","42.291","360","Resistor"
"R23","2.2K 1206","TopLayer","R1206","28.365","58.100","0","Resistor"
"R22","100K 1206","TopLayer","R1206","19.475","51.130","360","Resistor"
"R21","100K 1206","TopLayer","R1206","45.136","38.964","360","Resistor"
"R20","2.2K 1206","TopLayer","R1206","28.365","64.775","360","Resistor"
"R19","220K 1206","TopLayer","R1206","45.161","35.725","180","Resistor"
"R18","100K 1206","TopLayer","R1206","19.475","64.775","360","Resistor"
"R17","100K 1206","TopLayer","R1206","34.969","58.100","360","Resistor"
"R16","220K 1206","TopLayer","R1206","45.187","32.715","360","Resistor"
"R15","100K 1206","TopLayer","R1206","34.969","64.775","360","Resistor"
"R14","2.2K 1206","TopLayer","R1206","12.871","58.100","360","Resistor"
"R13","47K 1206","TopLayer","R1206","12.871","28.651","360","Resistor"
"R12","100K 1206","TopLayer","R1206","19.475","58.100","360","Resistor"
"R11","100K 1206","TopLayer","R1206","34.969","71.450","360","Resistor"
"R10","1M 1206","TopLayer","R1206","19.475","28.651","360","Resistor"
"R9","100K 1206","TopLayer","R1206","19.475","71.450","360","Resistor"
"R8","1M 1206","TopLayer","R1206","26.543","28.651","360","Resistor"
"R7","2.2K 1206","TopLayer","R1206","12.871","64.775","360","Resistor"
"R6","100K 1206","TopLayer","R1206","12.871","42.291","180","Resistor"
"R5","1K 1206","TopLayer","R1206","19.500","37.312","180","Resistor"
"R4","220K 1206","TopLayer","R1206","19.475","42.291","180","Resistor"
"R1","4.7K 1206","TopLayer","R1206","79.197","67.767","360","Resistor"
"MC1","PIC18F4620-I/P","TopLayer","PDIP600-P40","79.324","37.922","0","Enhanced FLASH Microcontroller, 8K (x14-Bit words) FLASH, 368 Bytes RAM, 40-Pin PDIP, Standard VDD Range, Industrial Temperature"
"D67","1N4148 SMD","TopLayer","4148SMDW","85.293","71.450","360","1 Amp General Purpose Rectifier"
"D65","1N4148 SMD","TopLayer","4148SMDW","28.365","68.113","360","1 Amp General Purpose Rectifier"
"D64","1N4148 SMD","TopLayer","4148SMDW","12.871","68.113","360","1 Amp General Purpose Rectifier"
"D11","1N4148 SMD","TopLayer","4148SMDW","28.365","54.813","360","1 Amp General Purpose Rectifier"
"D10","1N4148 SMD","TopLayer","4148SMDW","12.871","47.955","360","1 Amp General Purpose Rectifier"
"D8","1N4148 SMD","TopLayer","4148SMDW","28.365","61.438","360","1 Amp General Purpose Rectifier"
"D5","1N4148 SMD","TopLayer","4148SMDW","12.871","54.813","360","1 Amp General Purpose Rectifier"
"D2","1N4148 SMD","TopLayer","4148SMDW","12.871","61.438","360","1 Amp General Purpose Rectifier"
"C70","1uF 1206","TopLayer","C1206","79.197","71.450","180","Capacitor"
"C69",".1uF 1206","TopLayer","C1206","62.967","40.970","360","Capacitor"
"C68","100uF/25V","TopLayer","CAP_.1","72.365","70.104","90","Capacitor"
"C57","1uF 1206","TopLayer","C1206","26.543","45.161","180","Capacitor"
"C46",".1uF 1206","TopLayer","C1206","65.837","28.651","360","Capacitor"
"C20",".1uF 1206","TopLayer","C1206","65.837","33.528","360","Capacitor"
"C15","1uF 1206","TopLayer","C1206","52.070","35.814","360","Capacitor"
"C14","1uF 1206","TopLayer","C1206","65.837","31.064","360","Capacitor"
"C13","1uF 1206","TopLayer","C1206","19.475","25.019","180","Capacitor"
"C12",".1uF 1206","TopLayer","C1206","35.916","42.037","180","Capacitor"
"C11",".1uF 1206","TopLayer","C1206","62.281","57.861","360","Capacitor"
"C5",".1uF 1206","TopLayer","C1206","28.365","51.130","180","Capacitor"
"C4",".1uF 1206","TopLayer","C1206","72.288","66.192","180","Capacitor"
"BT1","CR2032","TopLayer","CELL_HOLDER","41.687","19.665","45","Multicell Battery"
"P1PANEL","Header 18","TopLayer","HDR1X18_BURGE_F","5.500","40.110","270","Header, 18-Pin"
"P2 RELAYS","Header 10","TopLayer","HDR1X10_BURGE_F","80.270","5.500","360","Header, 10-Pin"
"P3 ANALOG","Header 10","TopLayer","HDR1X10_BURGE_F","62.710","74.500","0","Header, 10-Pin"
"P4KB","Header 20","TopLayer","HDR1X20_BURGE_F","94.500","37.570","270","Header, 20-Pin"
"PSTR1","Header 4","TopLayer","HDR1X4_BURGE_F","30.090","5.500","180","Header, 4-Pin"
"R2","4.7K 1206","TopLayer","R1206","65.837","37.490","180","Resistor"
"R24","100K 1206","TopLayer","R1206","26.568","37.312","360","Resistor"
"C10",".1uF 1206","TopLayer","C1206","59.207","7.315","360","Capacitor"
"R31","4.7K 1206","TopLayer","R1206","65.913","14.351","180","Resistor"
"R32","4.7K 1206","TopLayer","R1206","65.913","17.628","180","Resistor"
