Removed Pin From Net: NetName=DGR Pin=R98-1
Removed Pin From Net: NetName=NetR67_2 Pin=R98-2
Removed Pin From Net: NetName=DGY Pin=R113-1
Removed Pin From Net: NetName=NetR79_2 Pin=R113-2
Removed Pin From Net: NetName=DGB Pin=R115-1
Removed Pin From Net: NetName=NetR87_2 Pin=R115-2
Change Component Footprint: Designator=D61 Old Footprint=DO-35 New Footprint=DIODE1A
Change Component Footprint: Designator=R37 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R39 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R40 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R41 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R43 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R44 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R45 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R46 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R48 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R49 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R50 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R52 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R54 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R55 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R57 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R58 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R59 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R61 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R63 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R65 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R67 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R68 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R69 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R71 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R72 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R73 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R74 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R75 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R77 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R79 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R80 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R81 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R83 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R84 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R85 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R87 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R88 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R89 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R91 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R92 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R97 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R99 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R105 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R106 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R110 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R112 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R114 Old Footprint=R1206VW New Footprint=R1206W
Change Component Footprint: Designator=R116 Old Footprint=R1206VW New Footprint=R1206W
Change Net Name : Old Net Name=NetR67_2 New Net Name=DGRR
Change Net Name : Old Net Name=NetR79_2 New Net Name=DGYR
Change Net Name : Old Net Name=NetR87_2 New Net Name=DGBB
