Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LCDv3.PrjPcb|ReportField=ProjectFullPath~C:\Users\suraj\Documents\PCBs\AMFv3\A5_LCD_v3\LCDv3.PrjPcb|ReportField=Title~Bill of Materials For Project [LCDv3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~17|ReportField=ReportTime~12:18:45 PM|ReportField=ReportDate~5/9/2013|ReportField=ReportDateTime~5/9/2013 12:18:45 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~5/9/2013|ReportField=CurrentTime~12:17:47 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\suraj\Documents\PCBs\AMFv3\A5_LCD_v3\KEYBOARD.SchDoc|ReportField=DocumentName~KEYBOARD.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~SURAJ|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~5/9/2013|ReportField=Organization~|ReportField=ProjectName~LCDv3.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~4|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LCDv3.PrjPcb|ReportField=DataSourceFullPath~C:\Users\suraj\Documents\PCBs\AMFv3\A5_LCD_v3\LCDv3.PrjPcb
.1uF 1206|Capacitor|C17, C44, C55|C1206|Cap|3
1uF 1206|Capacitor|C54|C1206|Cap|1
JHD 162A|16 char * 2 line LCD character display with b/light|LCD1|162A|162A|1
Header 20|Header, 20-Pin|P5, P6|HDR1X20_BURGE_M|Header 20|2
MHDR1X17|Header, 17-Pin|PFP|HDR1X17_BURGE_F|MHDR1X17|1
10K RESISTOR NETWORK 8+1PIN|Header, 9-Pin|PULL|RESPACK8+1|Header 9|1
470E 1206|Resistor|R26, R27, R28, R29, R30|R1206|Res1|5
4.7K 1206|Resistor|R31|R1206|Res1|1
PRESET 5K|Variable Resistor|R31|POT|Res Adj1|1
SN74HC148N|8-Line to 3-Line Priority Encoder|U15|N016D|SN74HC148N|1
